Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,
3,0.24407597108676,0.222782539292671,YPO3285,YPO0463,YPO1149,,,,,,,
3,0.24407597108676,0.222782539292671,YPO2066,YPO3285,YPO0463,,,,,,,
4,0.247178909289816,0.184933169044551,YPO1109,YPO3141,YPO0920,YPO0921,,,,,,
5,0.277035380966754,0.0368065311704682,YPO2157,YPO1541,YPO1109,YPO0463,YPO2067,,,,,
5,0.277035380966754,0.0368065311695628,YPO1109,YPO3376,YPO3520,YPO0914,YPO3834,,,,,
5,0.247178909289816,0.184933169044551,YPO2066,YPO2157,YPO3992,YPO0347,YPO0463,,,,,
6,0.239098974340539,0.250865626666232,YPO1541,YPO1109,YPO0463,YPO2067,YPO3376,YPO0914,,,,
4,0.247178909289816,0.184933169046427,YPO2066,YPO2157,YPO1109,YPO0463,,,,,,
4,0.276142191889386,0.0418464193071291,YPO2157,YPO2552,YPO1109,YPO0920,,,,,,
5,0.27703538096674,0.0368065311719047,YPO3992,YPO0347,YPO0920,YPO0921,YPO2836,,,,,
5,0.229173427386822,0.209180108403866,YPO0793,YPO1109,YPO0920,YPO0914,YPO1133,,,,,
6,0.277035380966754,0.0368065311686454,YPO3992,YPO0347,YPO3141,YPO3520,YPO1133,YPO0442,,,,
4,0.247178909289844,0.18493316904299,YPO1109,YPO0463,YPO0921,YPO1149,,,,,,
10,0.256688255168426,0.151616755211825,YPO2066,YPO2614,YPO0459,YPO3992,YPO0347,YPO0254,YPO2824,YPO0463,YPO3142,YPO0920
4,0.260377296581559,0.0239403890960041,YPO0793,YPO1109,YPO3520,YPO0921,,,,,,
10,0.26037729658156,0.0239403891358111,YPO0461,YPO2161,YPO1541,YPO3992,YPO0347,YPO2824,YPO0463,YPO3142,YPO2067,YPO0920
