Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
5,0.0505114043336311,0.00287354764237709,Rv0408,Rv0118c,Rv1837c,Rv3339c,Rv0066c,,,,,,,
5,0.0505114043336311,0.00287354764237709,Rv0118c,Rv1837c,Rv3339c,Rv0066c,Rv0409,,,,,,,
5,0.0405495137854403,0.433386836782365,Rv1240,Rv0118c,Rv1837c,Rv0694,Rv1311,,,,,,,
5,0.0389989635635453,0.00221863366606982,Rv0118c,Rv0211,Rv1837c,Rv1311,Rv0409,,,,,,,
5,0.0389989635635453,0.00221863366606982,Rv0408,Rv0118c,Rv0211,Rv1837c,Rv1311,,,,,,,
6,0.0406943966783267,0.409924434991481,Rv1098c,Rv0118c,Rv1837c,Rv1311,Rv3339c,Rv0066c,,,,,,
6,0.0405495137715626,0.433386794407852,Rv2443,Rv1098c,Rv0118c,Rv1837c,Rv0694,Rv1311,,,,,,
6,0.0498219464742257,0.00283431774005294,Rv0234c,Rv1731,Rv0408,Rv0118c,Rv0211,Rv1837c,,,,,,
6,0.0498219464742253,0.00283432496623318,Rv3432c,Rv1248c,Rv0118c,Rv0211,Rv1837c,Rv0409,,,,,,
6,0.0406943966436324,0.409924327933013,Rv1240,Rv0118c,Rv1837c,Rv1311,Rv3339c,Rv0066c,,,,,,
6,0.0405495137854403,0.433386786161927,Rv1902c,Rv1240,Rv0118c,Rv1837c,Rv0191,Rv1311,,,,,,
6,0.0498219464742257,0.00283431774005294,Rv0234c,Rv1731,Rv0118c,Rv0211,Rv1837c,Rv0409,,,,,,
6,0.048037176638946,0.42108632368681,Rv0234c,Rv1731,Rv1902c,Rv1240,Rv0118c,Rv1837c,,,,,,
6,0.0498219464742253,0.00283432496623318,Rv3432c,Rv0408,Rv1248c,Rv0118c,Rv0211,Rv1837c,,,,,,
6,0.0480371766667018,0.421086358059775,Rv3432c,Rv1902c,Rv1240,Rv1248c,Rv0118c,Rv1837c,,,,,,
7,0.0498219464742255,0.00283430983224149,Rv0408,Rv1248c,Rv0118c,Rv0211,Rv1837c,Rv3290c,Rv2589,,,,,
7,0.0498219464742255,0.00283430983224149,Rv1248c,Rv0118c,Rv0211,Rv1837c,Rv0409,Rv3290c,Rv2589,,,,,
7,0.0405495137854406,0.433386769727804,Rv2443,Rv2332,Rv1240,Rv1098c,Rv0118c,Rv0694,Rv1311,,,,,
7,0.0405495137854406,0.433386809246312,Rv2443,Rv1902c,Rv1098c,Rv0118c,Rv1837c,Rv0191,Rv1311,,,,,
7,0.0480371765973131,0.421086192080509,Rv1902c,Rv1240,Rv1248c,Rv0118c,Rv1837c,Rv3290c,Rv2589,,,,,
7,0.0480371766389463,0.421086455482212,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1098c,Rv0118c,Rv1837c,,,,,
7,0.0480371766667016,0.421086479852274,Rv2443,Rv3432c,Rv1902c,Rv1098c,Rv1248c,Rv0118c,Rv1837c,,,,,
8,0.0505114043544474,0.00287354862550916,Rv2443,Rv2332,Rv1240,Rv1098c,Rv0118c,Rv3339c,Rv0066c,Rv0409,,,,
8,0.0168889683527942,0.306435788923409,Rv3010c,Rv2332,Rv1240,Rv1098c,Rv0118c,Rv1311,Rv3339c,Rv0066c,,,,
8,0.0505114043544474,0.00287354862550916,Rv2443,Rv2332,Rv1240,Rv0408,Rv1098c,Rv0118c,Rv3339c,Rv0066c,,,,
8,0.0480371766389465,0.421086348612946,Rv2443,Rv3432c,Rv1902c,Rv2332,Rv1240,Rv1098c,Rv1248c,Rv0118c,,,,
8,0.040694396650571,0.409924360327405,Rv2443,Rv2332,Rv1240,Rv1098c,Rv0118c,Rv1311,Rv3339c,Rv0066c,,,,
8,0.0404358108237465,0.433573605173044,Rv2443,Rv2332,Rv1240,Rv1188,Rv0118c,Rv0694,Rv1311,Rv3150,,,,
8,0.0159884486586692,0.337492348715074,Rv1236,Rv2332,Rv1240,Rv1098c,Rv0118c,Rv1311,Rv3339c,Rv0066c,,,,
8,0.0405495138131962,0.433386817952934,Rv2443,Rv1902c,Rv2332,Rv1240,Rv1098c,Rv0118c,Rv0191,Rv1311,,,,
8,0.0480371766667021,0.421086496030555,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv2332,Rv1240,Rv1098c,Rv0118c,,,,
8,0.0406645604159392,0.407424251450236,Rv1188,Rv0118c,Rv1837c,Rv1872c,Rv1311,Rv3150,Rv3339c,Rv0066c,,,,
9,0.0406645604159392,0.407424308959405,Rv3319,Rv0247c,Rv0248c,Rv1188,Rv0118c,Rv1837c,Rv1311,Rv3339c,Rv0066c,,,
9,0.0480371766458851,0.421086631957342,Rv2443,Rv1902c,Rv2332,Rv1240,Rv1098c,Rv1248c,Rv0118c,Rv3290c,Rv2589,,,
10,0.0483235449137489,0.00274913480327382,Rv2443,Rv2332,Rv1240,Rv0408,Rv1188,Rv0118c,Rv0694,Rv3150,Rv3339c,Rv0066c,,
10,0.0503764671777636,0.00286586030917071,Rv2443,Rv2332,Rv1240,Rv0408,Rv1188,Rv0118c,Rv1872c,Rv3150,Rv3339c,Rv0066c,,
10,0.0479054585909399,0.421302723870575,Rv2443,Rv3432c,Rv1902c,Rv2332,Rv1240,Rv1188,Rv1248c,Rv0118c,Rv0694,Rv3150,,
10,0.0405827359054936,0.40971422286716,Rv2443,Rv2332,Rv1240,Rv1188,Rv0118c,Rv1872c,Rv1311,Rv3150,Rv3339c,Rv0066c,,
10,0.0479054586048179,0.421302809725658,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv2332,Rv1240,Rv1188,Rv0118c,Rv0694,Rv3150,,
10,0.0503764671777636,0.00286586030917071,Rv2443,Rv2332,Rv1240,Rv1188,Rv0118c,Rv1872c,Rv3150,Rv3339c,Rv0066c,Rv0409,,
10,0.0404358108792578,0.433573596693588,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,Rv0118c,Rv0694,Rv1311,,
