Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,
5,0.0431776494919096,0.865923681268625,Rv2443,Rv1188,Rv0694,Rv1311,Rv3150,,,,,,,,,
6,0.0505115491551056,0.00910719112124513,Rv2443,Rv2332,Rv1240,Rv1188,Rv0694,Rv3150,,,,,,,,
6,0.0523839997116365,0.00944477888282783,Rv2443,Rv2332,Rv1240,Rv1188,Rv1872c,Rv3150,,,,,,,,
7,0.0523839997185751,0.0094447740845068,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,,,,,,,
7,0.0431776494919093,0.86592379783005,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1188,Rv0694,Rv1311,,,,,,,
8,0.0473281826842878,0.0489683870941104,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0694,Rv3150,Rv1475c,,,,,,
8,0.0454854908127806,0.496056190610476,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1188,Rv0694,Rv3150,Rv0084,,,,,,
8,0.0431776494919095,0.86592376044012,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1902c,Rv1188,Rv0191,Rv1311,,,,,,
8,0.0454854908127805,0.496056445229142,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0694,Rv3150,Rv0084,,,,,,
9,0.0454854908370666,0.496056279105563,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1188,Rv0191,Rv1872c,Rv3150,Rv0084,,,,,
9,0.0464312721328037,0.00837146856349854,Rv2443,Rv3432c,Rv1902c,Rv1240,Rv1188,Rv1248c,Rv0211,Rv0694,Rv3150,,,,,
10,0.0216465503996663,0.0069610754766149,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv1236,Rv2332,Rv2211c,Rv1240,Rv1475c,,,,
10,0.0473281826842878,0.0489688682386356,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0191,Rv1475c,,,,
10,0.0454854908370666,0.496056050109963,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1188,Rv0191,Rv0084,,,,
10,0.0253906684140914,0.00816507980557582,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv1236,Rv2332,Rv2211c,Rv1240,Rv0118c,,,,
10,0.0464312721466815,0.00837133703750853,Rv2443,Rv1902c,Rv1240,Rv1188,Rv1248c,Rv0211,Rv0694,Rv3150,Rv3290c,Rv2589,,,,
10,0.02539066848348,0.00816510026744985,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv1236,Rv2332,Rv1240,Rv1832,Rv1248c,Rv0118c,,,,
10,0.0253906683585802,0.00816507150610693,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv1236,Rv2332,Rv2211c,Rv1240,Rv1248c,Rv0118c,,,,
10,0.0473281826565321,0.0489688006102305,Rv2443,Rv1902c,Rv1188,Rv1248c,Rv0118c,Rv1837c,Rv0694,Rv3150,Rv3290c,Rv2589,,,,
10,0.02539066848348,0.00816510073311114,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv1236,Rv2332,Rv1240,Rv1248c,Rv0118c,,,,
