Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,
4,0.282370956733351,0.337345760548487,YLR027C,YHR208W,YKL141W,YMR118C,,,,,,,,,,,,
7,0.281090365590432,0.134532916132141,YMR083W,YKL192C,YAL054C,YOL059W,YJL121C,YLR348C,YML120C,,,,,,,,,
7,0.281090365590432,0.134532865451439,YMR083W,YKL192C,YER170W,YOL059W,YJL121C,YLR348C,YML120C,,,,,,,,,
8,0.26451503539,0.11834303685464,YMR083W,YPL061W,YLR027C,YKL192C,YOL059W,YHR208W,YLR348C,YML120C,,,,,,,,
8,0.265707850549022,0.0163893876597285,YMR083W,YLR027C,YKL192C,YOL059W,YHR208W,YMR267W,YLR348C,YML120C,,,,,,,,
9,0.159836277217916,0.346651330357417,YMR083W,YGR087C,YLR044C,YLR134W,YKL192C,YOL059W,YJL121C,YLR348C,YML120C,,,,,,,
9,0.229897187357902,0.406297312467359,YOL086C,YDL168W,YGL256W,YBR145W,YMR083W,YKL192C,YOL059W,YLR348C,YML120C,,,,,,,
10,0.160077933634147,0.347175380215049,YMR083W,YGR087C,YLR044C,YLR134W,YKL192C,YOL059W,YOR375C,YAL062W,YLR348C,YML120C,,,,,,
13,0.17407968021365,0.37754225358367,YBR068C,YMR083W,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YKL192C,YCL025C,YKR039W,YOL059W,YLR348C,YML120C,,,
16,0.164803482677546,0.263505936251022,YDL168W,YMR303C,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YKL192C,YCL025C,YKR039W,YOL059W,YLR348C,YML120C
